,coef,se,values,dvs,datasets,type
106,0.0234464999292378,0.476771919325054,val3_tradition_yhat,did_retweet>0,full_data,colin
107,-1.64226179149233,0.672806011946518,val3_rule_conformity_yhat,did_retweet>0,full_data,colin
108,0.0210198129533186,0.72618109855425,val3_interpersonal_conformity_yhat,did_retweet>0,full_data,colin
109,0.100088592928966,0.424458711272818,val3_humility_yhat,did_retweet>0,full_data,colin
110,1.91097603666528,0.618439644355087,val3_dependability_yhat,did_retweet>0,full_data,colin
111,-0.817763811472308,0.558937435558375,val3_caring_yhat,did_retweet>0,full_data,colin
112,0.966865399600718,0.55600105314427,val3_univ_concern_yhat,did_retweet>0,full_data,colin
113,0.109755584994402,0.215929510113447,val3_nature_yhat,did_retweet>0,full_data,colin
114,-1.9191604281753,0.598274649769152,val3_tolerance_yhat,did_retweet>0,full_data,colin
115,0.0492130136497211,NA,val3_dominance_yhat,did_bookmark>0,full_data,pca
116,0.0901435273645111,NA,val3_resources_yhat,did_bookmark>0,full_data,pca
117,0.153063760207621,NA,val3_achievement_yhat,did_bookmark>0,full_data,pca
118,0.146880155421793,NA,val3_hedonism_yhat,did_bookmark>0,full_data,pca
119,0.0411563724878263,NA,val3_selfdir_thoughts_yhat,did_bookmark>0,full_data,pca
120,0.0507025903685475,NA,val3_selfdir_actions_yhat,did_bookmark>0,full_data,pca
121,0.0620455466458833,NA,val3_stimulation_yhat,did_bookmark>0,full_data,pca
122,0.0159683525074868,NA,val3_personal_sec_yhat,did_bookmark>0,full_data,pca
123,-0.206771809086357,NA,val3_socsec_yhat,did_bookmark>0,full_data,pca
124,-0.145068661453817,NA,val3_tradition_yhat,did_bookmark>0,full_data,pca
125,-0.228146206771858,NA,val3_rule_conformity_yhat,did_bookmark>0,full_data,pca
126,-0.119383196912252,NA,val3_interpersonal_conformity_yhat,did_bookmark>0,full_data,pca
127,0.0607912810079344,NA,val3_humility_yhat,did_bookmark>0,full_data,pca
128,0.154703333723524,NA,val3_dependability_yhat,did_bookmark>0,full_data,pca
129,0.187877167556433,NA,val3_caring_yhat,did_bookmark>0,full_data,pca
130,0.111664512180751,NA,val3_univ_concern_yhat,did_bookmark>0,full_data,pca
131,0.136391542790323,NA,val3_nature_yhat,did_bookmark>0,full_data,pca
132,0.0980529867073711,NA,val3_tolerance_yhat,did_bookmark>0,full_data,pca
133,0.113111656246084,NA,val3_face_yhat,did_bookmark>0,full_data,pca
134,0.510474463503402,0.580521693678395,val3_face_yhat,did_bookmark>0,full_data,colin
135,1.28431355989001,0.816735281459593,val3_dominance_yhat,did_bookmark>0,full_data,colin
136,-0.0144319050173164,0.862532433151778,val3_resources_yhat,did_bookmark>0,full_data,colin
137,-0.360550764521211,0.615600469171338,val3_achievement_yhat,did_bookmark>0,full_data,colin
138,-0.440203829267821,0.424356611144182,val3_hedonism_yhat,did_bookmark>0,full_data,colin
139,-0.267328110866703,0.790030762864895,val3_selfdir_thoughts_yhat,did_bookmark>0,full_data,colin
140,0.982747532091598,0.826121968149199,val3_selfdir_actions_yhat,did_bookmark>0,full_data,colin
141,0.0747951094467162,0.675402254288313,val3_stimulation_yhat,did_bookmark>0,full_data,colin
142,-0.686406234897613,0.610667357819286,val3_personal_sec_yhat,did_bookmark>0,full_data,colin
143,0.741174163580425,0.904218261893836,val3_socsec_yhat,did_bookmark>0,full_data,colin
144,0.376938589786156,0.619061694340063,val3_tradition_yhat,did_bookmark>0,full_data,colin
145,-0.937847837565158,0.857724925934886,val3_rule_conformity_yhat,did_bookmark>0,full_data,colin
146,-2.058247872076,0.920924333399688,val3_interpersonal_conformity_yhat,did_bookmark>0,full_data,colin
147,0.72404428862678,0.449673980576259,val3_humility_yhat,did_bookmark>0,full_data,colin
148,0.326553954174733,0.711894134195332,val3_dependability_yhat,did_bookmark>0,full_data,colin
149,-0.701102949158442,0.601937544970042,val3_caring_yhat,did_bookmark>0,full_data,colin
150,1.04093505847756,0.607680051827966,val3_univ_concern_yhat,did_bookmark>0,full_data,colin
151,-0.181766978913136,0.252070638433557,val3_nature_yhat,did_bookmark>0,full_data,colin
152,-0.393653295429543,0.587782168217408,val3_tolerance_yhat,did_bookmark>0,full_data,colin
153,-0.0131133700209013,NA,val3_dominance_yhat,did_reply>0,full_data,pca
154,-0.0591114881297484,NA,val3_resources_yhat,did_reply>0,full_data,pca
155,-0.130315723072384,NA,val3_achievement_yhat,did_reply>0,full_data,pca
156,-0.0640266977155583,NA,val3_hedonism_yhat,did_reply>0,full_data,pca
157,0.0954959647763382,NA,val3_selfdir_thoughts_yhat,did_reply>0,full_data,pca
158,0.0894403169121323,NA,val3_selfdir_actions_yhat,did_reply>0,full_data,pca
159,0.0452584018250404,NA,val3_stimulation_yhat,did_reply>0,full_data,pca
160,0.0283193309481577,NA,val3_personal_sec_yhat,did_reply>0,full_data,pca
161,0.322735686647003,NA,val3_socsec_yhat,did_reply>0,full_data,pca
162,0.243231855568055,NA,val3_tradition_yhat,did_reply>0,full_data,pca
163,0.341865396004063,NA,val3_rule_conformity_yhat,did_reply>0,full_data,pca
164,0.211788297455242,NA,val3_interpersonal_conformity_yhat,did_reply>0,full_data,pca
165,0.0522112823518725,NA,val3_humility_yhat,did_reply>0,full_data,pca
166,-0.065795229377098,NA,val3_dependability_yhat,did_reply>0,full_data,pca
167,-0.106702204582747,NA,val3_caring_yhat,did_reply>0,full_data,pca
168,-0.00169254483850678,NA,val3_univ_concern_yhat,did_reply>0,full_data,pca
169,-0.0413118312576221,NA,val3_nature_yhat,did_reply>0,full_data,pca
170,0.0203481015309427,NA,val3_tolerance_yhat,did_reply>0,full_data,pca
171,-0.0835250658726468,NA,val3_face_yhat,did_reply>0,full_data,pca
172,-1.76159312385975,0.00106767842973596,val3_face_yhat,did_reply>0,full_data,colin
173,1.92595534552699,0.00106764615628103,val3_dominance_yhat,did_reply>0,full_data,colin
174,-0.524957155473459,0.00106764439957661,val3_resources_yhat,did_reply>0,full_data,colin
175,0.461242140739004,0.00106765284634306,val3_achievement_yhat,did_reply>0,full_data,colin
176,0.14952999467761,0.00106770409788147,val3_hedonism_yhat,did_reply>0,full_data,colin
177,0.145118226857938,0.00106768645427615,val3_selfdir_thoughts_yhat,did_reply>0,full_data,colin
